"Pond.Name","Urban.Baseflow"
"Hospital",55.7575757575758
"Lot60",70.3045685279188
"Garner",30.7106598984772
"DobA7",90.983606557377
"Owen",21.0659898477157
"HPChurch",100
"DobA8",22.3350253807107
"Midtown",37.3333333333333
"Elver",33.756345177665
"TwoFountains",26.0700389105058
"Greentree",70.8121827411167
"MarionDunn",74.9367088607595
"Manitou",86.284289276808
"MadCity",56.3253012048193
"Baxter",5.4054054054054
"DobA22",13.6363636363636
"DobA5",21.0843373493976
"DobA4",23.2911392405063
"DoorCreek",54.4615384615385
"CommAve",50.3067484662577
